    ID               Y                X                Z
0000000001        646099.78        1060562.13        219.88
0000000002        646095.99        1060561.02        219.99
0000000003        646096.01        1060574.66        219.83
0000000004        646081.93        1060557.34        220.30
0000000005        646084.18        1060560.45        219.99
0000000006        646084.85        1060558.22        219.97
0000000007        646084.48        1060557.58        220.44
0000000008        646061.16        1060563.77        220.52
0000000009        646064.69        1060564.01        220.39
0000000010        646068.45        1060565.05        220.33
0000000011        646071.81        1060561.48        220.27
0000000012        646073.04        1060561.05        220.25
0000000013        646076.38        1060565.02        220.26
0000000014        646070.59        1060562.21        220.29
0000000015        646068.38        1060560.94        220.26
0000000016        646069.70        1060562.27        220.32
0000000017        646080.89        1060566.45        220.13
0000000018        646080.76        1060565.03        220.18
0000000019        646052.38        1060548.11        220.16
0000000020        646058.20        1060549.82        220.24
0000000021        646059.64        1060550.26        220.24
0000000022        646059.76        1060550.51        220.29
0000000023        646075.28        1060568.47        220.30
0000000024        646073.26        1060567.84        220.36
0000000025        646068.06        1060566.22        220.36
0000000026        646084.81        1060566.91        219.93
0000000027        646093.45        1060569.50        219.89
0000000028        646083.64        1060567.06        219.92
0000000029        646091.51        1060577.44        220.03
0000000030        646094.57        1060573.80        219.89
0000000031        646080.67        1060567.18        220.18
0000000032        646082.01        1060566.15        220.13
0000000033        646082.16        1060567.01        220.07
0000000034        646081.63        1060567.47        220.10
0000000035        646080.07        1060569.15        220.18
0000000036        646082.63        1060567.20        220.01
0000000037        646079.86        1060569.85        220.06
0000000038        646081.00        1060569.44        220.09
0000000039        646081.08        1060569.78        220.06
0000000040        646062.96        1060554.42        220.47
0000000041        646067.25        1060552.39        220.45
0000000042        646067.49        1060552.71        220.45
0000000043        646065.36        1060555.19        220.48
0000000044        646065.71        1060558.52        220.42
0000000045        646068.15        1060557.56        220.35
0000000046        646067.67        1060559.82        220.38
0000000047        646048.58        1060560.43        220.21
0000000048        646050.13        1060560.38        220.24
0000000049        646055.11        1060562.40        220.34
0000000050        646051.97        1060561.48        220.28
0000000051        646050.94        1060559.86        220.27
0000000052        646049.92        1060559.31        220.36
0000000053        646051.69        1060559.75        220.25
0000000054        646056.19        1060555.82        220.28
0000000055        646051.36        1060554.62        220.21
0000000056        646053.12        1060555.37        220.27
0000000057        646052.47        1060554.75        220.25
0000000058        646075.45        1060561.57        220.28
0000000059        646074.73        1060560.78        220.22
0000000060        646075.16        1060560.49        220.22
0000000061        646075.46        1060559.55        220.20
0000000062        646079.93        1060563.29        220.11
0000000063        646077.53        1060557.03        220.25
0000000064        646073.38        1060554.28        220.37
0000000065        646076.40        1060555.20        220.27
0000000066        646077.47        1060555.51        220.29
0000000067        646084.00        1060560.40        219.88
0000000068        646080.79        1060556.49        220.36
0000000069        646079.13        1060557.62        220.25
0000000070        646081.26        1060559.56        220.04
0000000071        646080.29        1060557.70        220.21
